Ticker	Data_Points	Signals	Hits	Hit_Rate	Avg_Return	Best_Return	Worst_Return	First_Date	Last_Date	Status	Change	Run_Date	Lookback
CARR	751	7	7	100	15.9	24	12.6	2023-04-13	2026-04-10	THIN		2026-04-12	trailing 3yr
CRWV	241	5	5	100	57	190.2	14.6	2025-04-25	2026-04-10	THIN		2026-04-12	trailing 3yr
NBIS	391	11	11	100	62.1	145.5	29.4	2024-09-18	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
VRT	751	19	19	100	41.6	79.2	12.9	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
COHR	751	15	14	93.3	39.1	92	6	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
GEV	490	14	13	92.9	47.3	94.9	6	2024-04-26	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
GM	751	14	13	92.9	20.2	30.3	8.4	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
VST	751	20	18	90	42.3	115.5	3.2	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
DELL	751	19	17	89.5	30.6	74.9	1.3	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
OKLO	466	9	8	88.9	123	219.6	1.9	2024-05-31	2026-04-10	THIN		2026-04-12	trailing 3yr
RGTI	751	18	16	88.9	204	1701.8	-8.6	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
APH	751	16	14	87.5	20	45.8	-1.7	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
KLAC	751	14	12	85.7	18.3	41.2	3	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
MRVL	751	7	6	85.7	35.4	52.5	9.1	2023-04-13	2026-04-10	THIN		2026-04-12	trailing 3yr
TSM	751	14	12	85.7	19	42.6	2.1	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
WDC	751	14	12	85.7	44.6	102.6	5	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
VLO	751	13	11	84.6	17.3	37.3	0.6	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
ANET	751	19	16	84.2	19.1	46	2.4	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
KTOS	751	19	16	84.2	26.9	79.4	-0.9	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
RCL	751	18	15	83.3	26.3	53.4	1.7	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
SMR	751	12	10	83.3	107	274.1	6.3	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
CRWD	751	17	14	82.4	24.5	59.8	2.2	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
MDB	751	17	14	82.4	22.6	74.6	0.3	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
TER	751	11	9	81.8	41.4	71.4	2.7	2023-04-13	2026-04-10	QUALIFY		2026-04-12	trailing 3yr
