rank,ticker,crossings,hits,hit_rate,avg_return_30d,avg_return_60d,avg_return_90d,market_cap,sector,in_preferred,hr_pre-covi,hr_covid+re,hr_ai_cycle
1,AAMI,3,3,1.0,0.1213,0.3196,0.4162,1851517872,INVESTMENT ADVICE,False,,,1.0
2,AAOI,8,8,1.0,0.2523,0.3929,0.4432,3035723820,SEMICONDUCTORS & RELATED DEVICES,False,,,1.0
3,AAON,6,6,1.0,0.1447,0.2236,0.2573,8248305220,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,False,,,1.0
4,ABVX,6,6,1.0,2.9165,4.8539,6.9389,9883287773,,False,,,1.0
5,ACAD,3,3,1.0,0.175,0.1959,0.2273,3727075428,PHARMACEUTICAL PREPARATIONS,False,,,1.0
6,ACLS,4,4,1.0,0.0997,0.2046,0.246,2902609454,"SPECIAL INDUSTRY MACHINERY, NEC",False,,,1.0
7,ACMR,4,4,1.0,0.2414,0.35,0.4235,4206589082,"SPECIAL INDUSTRY MACHINERY, NEC",False,,,1.0
8,ADPT,7,7,1.0,0.1252,0.2366,0.3378,2466621864,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)",False,,,1.0
9,AEM,5,5,1.0,0.0936,0.2035,0.2752,108738264863,,False,,,1.0
10,AEO,4,4,1.0,0.2818,0.4759,0.5303,4319165912,RETAIL-FAMILY CLOTHING STORES,False,,,1.0
11,AFRM,4,4,1.0,0.1598,0.3027,0.3665,16592241526,PERSONAL CREDIT INSTITUTIONS,False,,,1.0
12,AG,4,4,1.0,0.2236,0.3617,0.433,11251062051,,False,,,1.0
13,AGI,3,3,1.0,0.079,0.1317,0.2367,18997497640,,False,,,1.0
14,AGX,6,6,1.0,0.1669,0.3201,0.4486,5687404429,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,False,,,1.0
15,AHR,7,7,1.0,0.0665,0.106,0.1674,9228924518,REAL ESTATE INVESTMENT TRUSTS,False,,,1.0
16,ALAB,3,3,1.0,0.4431,0.6149,0.7889,22012139527,Semiconductors,False,,,1.0
17,ALB,5,5,1.0,0.178,0.3559,0.5309,19603885047,Materials,False,,,1.0
18,ALGM,3,3,1.0,0.1489,0.2338,0.2338,7852627070,SEMICONDUCTORS & RELATED DEVICES,False,,,1.0
19,ALHC,3,3,1.0,0.1464,0.222,0.2676,4039852270,HOSPITAL & MEDICAL SERVICE PLANS,False,,,1.0
20,ALNT,4,4,1.0,0.1143,0.2038,0.3094,1129453510,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,False,,,1.0
21,ALNY,3,3,1.0,0.1146,0.1579,0.3232,41696716473,Biotechnology,False,,,1.0
22,AMD,4,4,1.0,0.0961,0.2284,0.3157,338016775970,Semiconductors,False,,,1.0
23,AMKR,6,6,1.0,0.1354,0.3178,0.5518,11742234311,SEMICONDUCTORS & RELATED DEVICES,False,,,1.0
24,AMLX,5,5,1.0,0.3225,0.5146,0.8786,1550652314,PHARMACEUTICAL PREPARATIONS,False,,,1.0
25,AMR,5,5,1.0,0.175,0.207,0.292,2385420612,BITUMINOUS COAL & LIGNITE SURFACE MINING,False,,,1.0
26,AMRC,7,7,1.0,0.2006,0.4979,0.9698,1725420862,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,False,,,1.0
27,AMTM,3,3,1.0,0.193,0.2273,0.2853,7561990456,"SERVICES-BUSINESS SERVICES, NEC",False,,,1.0
28,ANAB,7,7,1.0,0.2266,0.3784,0.5427,1469703987,PHARMACEUTICAL PREPARATIONS,False,,,1.0
29,ENLT,7,7,1.0,0.1086,0.2458,0.4016,8580458956,,False,,,1.0
30,APH,9,9,1.0,0.0689,0.1845,0.2704,180350414529,Technology,False,,,1.0
31,ARMN,7,7,1.0,0.1236,0.3522,0.5428,3986467643,,False,,,1.0
32,ARQT,8,8,1.0,0.1524,0.3134,0.5344,3167648085,PHARMACEUTICAL PREPARATIONS,False,,,1.0
33,ARRY,3,3,1.0,0.2955,0.3228,0.3228,1704665079,MISCELLANEOUS MANUFACTURING INDUSTRIES,False,,,1.0
34,ARWR,3,3,1.0,0.2255,0.5418,0.8199,8936854365,PHARMACEUTICAL PREPARATIONS,False,,,1.0
35,ASM,5,5,1.0,0.1903,0.4738,0.6733,1535546061,,False,,,1.0
36,ASTE,3,3,1.0,0.0958,0.1227,0.1688,1355851096,CONSTRUCTION MACHINERY & EQUIP,False,,,1.0
37,ASTS,5,5,1.0,0.4329,0.8899,1.0461,23284971601,"COMMUNICATIONS SERVICES, NEC",False,,,1.0
38,ATRO,3,3,1.0,0.1636,0.31,0.3806,2741304569,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",False,,,1.0
39,AU,5,5,1.0,0.2071,0.3318,0.4566,55446830360,,False,,,1.0
40,AVAV,3,3,1.0,0.3961,0.4617,0.6757,12175423867,Aerospace & Defense,False,,,1.0
41,AVGO,3,3,1.0,0.1297,0.2378,0.3155,1541720001220,Semiconductors,False,,,1.0
42,AXTI,4,4,1.0,0.5126,0.9634,2.0765,1339845614,SEMICONDUCTORS & RELATED DEVICES,False,,,1.0
43,AZTA,3,3,1.0,0.1078,0.1444,0.1678,1318280959,"SPECIAL INDUSTRY MACHINERY, NEC",False,,,1.0
44,BAP,4,4,1.0,0.0609,0.1303,0.182,26175805009,,False,,,1.0
45,BBAI,6,6,1.0,0.5173,0.824,0.9554,1868203003,SERVICES-PREPACKAGED SOFTWARE,False,,,1.0
46,BBIO,10,10,1.0,0.0927,0.1727,0.3347,14419930847,PHARMACEUTICAL PREPARATIONS,False,,,1.0
47,BC,5,5,1.0,0.0546,0.1479,0.2183,5660784793,ENGINES & TURBINES,False,,,1.0
48,BCO,3,3,1.0,0.0765,0.1592,0.1752,5429582179,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,False,,,1.0
49,BELFA,5,5,1.0,0.0461,0.195,0.3134,2725312791,"ELECTRONIC COILS, TRANSFORMERS & OTHER INDUCTORS",False,,,1.0
50,BH,4,4,1.0,0.1109,0.1991,0.246,1231099380,RETAIL-EATING PLACES,False,,,1.0
51,BH.A,8,8,1.0,0.0698,0.1534,0.2476,1254402609,RETAIL-EATING PLACES,False,,,1.0
52,BITF,4,4,1.0,0.8074,1.7563,2.3012,1279556260,,False,,,1.0
