date,ticker,put_volume,call_volume,put_call_ratio,pc_20d_avg,pc_z_score
2024-02-14,LPLA,30,71,0.4225,,0.0
2024-02-15,LPLA,7,24,0.2917,,0.0
2024-02-16,LPLA,2,3733,0.0005,,0.0
2024-02-20,LPLA,9,14,0.6429,,0.0
2024-02-21,LPLA,18,12,1.5,,0.0
2024-02-22,LPLA,9,29,0.3103,,0.0
2024-02-23,LPLA,28,25,1.12,,0.0
2024-02-26,LPLA,13,60,0.2167,,0.0
2024-02-27,LPLA,493,38,12.9737,,0.0
2024-02-28,LPLA,32,21,1.5238,1.9002,-0.0958
2024-02-29,LPLA,10,7,1.4286,1.8573,-0.115
2024-03-01,LPLA,113,10,11.3,2.6442,1.932
2024-03-04,LPLA,74,31,2.3871,2.6244,-0.0553
2024-03-05,LPLA,32,73,0.4384,2.4683,-0.4876
2024-03-06,LPLA,118,46,2.5652,2.4748,0.0225
2024-03-07,LPLA,59,5,11.8,3.0576,1.933
2024-03-08,LPLA,23,179,0.1285,2.8853,-0.6214
2024-03-11,LPLA,18,162,0.1111,2.7312,-0.6019
2024-03-12,LPLA,5,36,0.1389,2.5947,-0.5748
2024-03-13,LPLA,24,1,24.0,3.665,3.2072
2024-03-14,LPLA,9,14,0.6429,3.676,-0.4788
2024-03-15,LPLA,52,33,1.5758,3.7402,-0.3433
2024-03-18,LPLA,2,2118,0.0009,3.7402,-0.5931
2024-03-19,LPLA,106,8,13.25,4.3706,1.3449
2024-03-20,LPLA,0,54,0.0,4.2956,-0.6464
2024-03-21,LPLA,15,8,1.875,4.3738,-0.3783
2024-03-22,LPLA,30,63,0.4762,4.3416,-0.5836
2024-03-25,LPLA,37,14,2.6429,4.463,-0.2772
2024-03-26,LPLA,23,13,1.7692,3.9027,-0.3401
2024-03-27,LPLA,36,4,9.0,4.2765,0.7444
2024-03-28,LPLA,5,15,0.3333,4.2218,-0.6099
2024-04-01,LPLA,4,9,0.4444,3.679,-0.5216
2024-04-02,LPLA,37,9,4.1111,3.7652,0.0558
2024-04-03,LPLA,4,6,0.6667,3.7766,-0.5026
2024-04-04,LPLA,190,120,1.5833,3.7275,-0.3457
2024-04-05,LPLA,7,27,0.2593,3.1505,-0.4865
2024-04-08,LPLA,3,8,0.375,3.1628,-0.4696
2024-04-09,LPLA,12,11,1.0909,3.2118,-0.3586
2024-04-10,LPLA,50,13,3.8462,3.3972,0.0765
2024-04-11,LPLA,6,20,0.3,2.2122,-0.5726
2024-04-12,LPLA,19,34,0.5588,2.208,-0.4935
2024-04-15,LPLA,74,30,2.4667,2.2525,0.0642
2024-04-16,LPLA,29,55,0.5273,2.2788,-0.5272
2024-04-17,LPLA,64,332,0.1928,1.626,-0.6771
2024-04-18,LPLA,79,25,3.16,1.784,0.6531
2024-04-19,LPLA,114,293,0.3891,1.7097,-0.6201
