Ticker	Data_Points	Signals	Hits	Hit_Rate	Avg_Return	Best_Return	Worst_Return	First_Date	Last_Date	Status	Change	Run_Date	Lookback
MA	835	1	1	100	12.2	12.2	12.2	2023-01-03	2026-05-01	THIN		2026-05-02	trailing 3yr
SOXX	58	1	1	100	25.7	25.7	25.7	2026-02-09	2026-05-01	THIN		2026-05-02	trailing 3yr
NBIS	406	11	11	100	69.4	145.5	29.8	2024-09-18	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
CRWV	256	5	5	100	64.2	190.2	18.8	2025-04-25	2026-05-01	THIN		2026-05-02	trailing 3yr
COHR	835	18	17	94.4	36.2	92	6	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
ANET	835	21	19	90.5	20.1	46	5.9	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
OKLO	481	10	9	90	112.9	219.6	1.9	2024-05-31	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
DELL	835	19	17	89.5	32	80.4	1.3	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
APH	835	16	14	87.5	20	45.8	-1.7	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
ROKU	835	16	14	87.5	21.9	41.1	6.5	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
GEV	505	15	13	86.7	46.9	94.9	1.9	2024-04-26	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
GM	835	15	13	86.7	19	30.3	2.7	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
WDC	835	15	13	86.7	45	102.6	5	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
KLAC	835	14	12	85.7	20.1	41.2	3	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
VST	835	21	18	85.7	40.3	115.5	-1.2	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
CRWD	835	20	17	85	23.6	59.8	0.2	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
KTOS	835	20	17	85	26.2	79.4	-0.9	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
RCL	835	19	16	84.2	26	53.4	1.7	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
SMR	835	12	10	83.3	107	274.1	6.3	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
HAL	835	12	10	83.3	17.6	31	-0.3	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
NVDA	835	11	9	81.8	33.1	74.8	6.9	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
TSM	835	16	13	81.2	17.8	42.6	0.6	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
MRCY	835	16	13	81.2	17.7	39	6.2	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
RGTI	835	21	17	81	175.7	1701.8	-8.6	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
JBL	835	21	17	81	24.8	71.2	4.3	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
TWLO	835	21	17	81	29.6	82.2	-0.5	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
AMT	835	5	4	80	13.1	27.2	-1	2023-01-03	2026-05-01	THIN		2026-05-02	trailing 3yr
VLO	835	15	12	80	16.3	37.3	0.6	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
AMD	835	15	12	80	31.8	76.9	-1.9	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
MDB	835	20	16	80	21.9	74.6	-2	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
CCJ	835	20	16	80	18.6	57.5	-0.1	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
VRT	835	24	19	79.2	35.4	79.5	2.1	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
FVRR	835	14	11	78.6	16	40.4	-2.1	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
TPR	835	14	11	78.6	30.6	54.2	-0.2	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
MSTR	835	18	14	77.8	46.5	185.5	1.1	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
CARR	835	9	7	77.8	12.9	24	-0.3	2023-01-03	2026-05-01	THIN		2026-05-02	trailing 3yr
GDDY	835	9	7	77.8	17	39.3	6.5	2023-01-03	2026-05-01	THIN		2026-05-02	trailing 3yr
AMAT	835	9	7	77.8	23.3	54.8	1.8	2023-01-03	2026-05-01	THIN		2026-05-02	trailing 3yr
CPRT	835	13	10	76.9	16.1	28.8	3.2	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
TER	835	13	10	76.9	36.1	71.4	-3.8	2023-01-03	2026-05-01	QUALIFY	STAY	2026-05-02	trailing 3yr
