date,daily_breadth,breadth_20d,breadth_50d,breadth_momentum,advancers,decliners,regime
2026-01-21,0.697674418604651,0.4419,0.4419,-0.116279069767442,30,13,Fragile
2026-01-20,0.0930232558139535,0.3953,0.4419,-0.116279069767442,4,39,Fragile
2026-01-16,0.488372093023256,0.4884,0.4651,-0.0232558139534884,21,22,Fragile
2026-01-15,0.534883720930233,0.5349,0.4651,0.0697674418604651,23,20,Caution
2026-01-14,0.116279069767442,0.4651,0.3953,-0.209302325581395,5,38,Fragile
2026-01-13,0.418604651162791,0.5814,0.5116,0.0232558139534884,18,25,Caution
2026-01-12,0.534883720930233,0.5581,0.4884,-0.0232558139534884,23,20,Caution
2026-01-09,0.604651162790698,0.5116,0.4884,0.0465116279069768,26,17,Caution
2026-01-08,0.255813953488372,0.4651,0.5116,0.186046511627907,11,32,Fragile
2026-01-07,0.465116279069767,0.6744,0.5349,0.186046511627907,20,23,Caution
2026-01-06,0.581395348837209,0.5581,0.5116,0.0232558139534884,25,18,Caution
2026-01-05,0.744186046511628,0.5814,0.5581,-0.0697674418604651,32,11,Caution
2026-01-02,0.581395348837209,0.4651,0.4651,-0.162790697674419,25,18,Fragile
2025-12-31,0.0697674418604651,0.2791,0.4186,-0.325581395348837,3,40,Stressed
2025-12-30,0.348837209302326,0.4884,0.5349,-0.0930232558139535,15,28,Fragile
2025-12-29,0.232558139534884,0.5349,0.5581,0.0232558139534883,10,33,Caution
2025-12-26,0.674418604651163,0.6512,0.5581,0.209302325581395,29,14,Caution
2025-12-24,0.674418604651163,0.6279,0.5814,0.27906976744186,29,14,Caution
2025-12-23,0.325581395348837,0.6047,0.5581,0.162790697674419,14,29,Caution
2025-12-22,0.720930232558139,0.5814,0.5116,0.116279069767442,31,12,Caution
2025-12-19,0.930232558139535,0.5116,0.4651,0.0465116279069768,40,3,Caution
2025-12-18,0.837209302325581,0.4419,0.4419,-0.348837209302326,36,7,Fragile
2025-12-17,0.0697674418604651,0.3488,0.3721,-0.418604651162791,3,40,Fragile
2025-12-16,0.581395348837209,0.4419,0.4419,-0.325581395348837,25,18,Fragile
2025-12-15,0.348837209302326,0.4651,0.4186,-0.255813953488372,15,28,Fragile
2025-12-12,0.0697674418604651,0.4651,0.4419,-0.186046511627907,3,40,Fragile
2025-12-11,0.465116279069767,0.7907,0.6279,0.186046511627907,20,23,Healthy
2025-12-10,0.674418604651163,0.7674,0.6047,0.13953488372093,29,14,Healthy
2025-12-09,0.604651162790698,0.7674,0.5349,0.255813953488372,26,17,Healthy
2025-12-08,0.581395348837209,0.7209,0.4651,0.325581395348837,25,18,Healthy
