date,hy_spread,ig_spread,hy_20d_change,combined_regime
2026-01-20,2.73,0.75,-0.17,Healthy
2026-01-19,2.65,0.75,-0.3,Healthy
2026-01-16,2.65,0.75,-0.34,Healthy
2026-01-15,2.71,0.76,-0.27,Healthy
2026-01-14,2.76,0.77,-0.15,Healthy
2026-01-13,2.75,0.77,-0.16,Healthy
2026-01-12,2.74,0.78,-0.14,Healthy
2026-01-09,2.74,0.78,-0.17,Healthy
2026-01-08,2.76,0.79,-0.13,Healthy
2026-01-07,2.79,0.79,-0.1,Healthy
2026-01-06,2.79,0.79,-0.06,Healthy
2026-01-05,2.81,0.79,-0.07,Healthy
2026-01-02,2.83,0.79,-0.06,Healthy
2025-12-31,2.81,0.79,-0.11,Healthy
2025-12-30,2.84,0.79,-0.1,Healthy
2025-12-29,2.87,0.79,-0.05,Healthy
2025-12-26,2.86,0.79,-0.09,Healthy
2025-12-24,2.84,0.79,-0.16,Healthy
2025-12-23,2.83,0.79,-0.17,Healthy
2025-12-22,2.88,0.8,-0.22,Healthy
2025-12-19,2.9,0.8,-0.25,Healthy
2025-12-18,2.95,0.81,-0.24,Healthy
2025-12-17,2.99,0.81,-0.18,Healthy
2025-12-16,2.98,0.81,-0.19,Healthy
2025-12-15,2.91,0.8,-0.29,Healthy
2025-12-12,2.91,0.8,-0.22,Healthy
2025-12-11,2.88,0.78,-0.19,Healthy
2025-12-10,2.91,0.78,-0.18,Healthy
2025-12-09,2.89,0.79,-0.13,Healthy
2025-12-08,2.89,0.78,-0.13,Healthy
