date,mci_score,regime,breadth_component,vix_component,credit_component,pillar_component
2026-01-22,-65.5,Break Path,-25.0,-25.0,5.0,-20.5
2026-01-21,-65.5,Break Path,-25.0,-25.0,5.0,-20.5
2026-01-19,-13.3,Collapse Bias,0.0,-25.0,11.7,0.0
2026-01-16,-1.4,Knife Edge,-0.6,-8.0,13.3,-6.1
2026-01-15,-0.9,Knife Edge,1.7,-11.1,10.0,-1.5
2026-01-14,-33.0,Collapse Bias,-1.7,-15.0,4.2,-20.5
2026-01-13,-11.0,Collapse Bias,4.1,-13.8,7.5,-8.8
2026-01-12,8.9,Knife Edge,2.9,-7.7,10.8,2.9
2026-01-09,19.5,Extension,0.6,-7.4,10.0,16.3
2026-01-08,7.8,Knife Edge,-1.7,-16.5,6.7,19.3
2026-01-07,23.6,Extension,8.7,-11.5,3.3,23.1
2026-01-06,25.4,Extension,2.9,-5.6,7.5,20.6
2026-01-05,12.9,Extension,4.1,0.1,7.5,1.2
2026-01-02,17.7,Extension,-1.7,19.7,10.0,-10.3
2025-12-31,8.1,Knife Edge,-11.0,22.3,15.0,-18.2
2025-12-30,14.6,Extension,-0.6,17.9,11.7,-14.4
2025-12-29,22.6,Extension,1.7,19.2,3.3,-1.6
2025-12-26,52.1,Melt-Up,7.6,17.8,4.2,22.5
2025-12-24,46.2,Melt-Up,6.4,11.5,3.3,25.0
2025-12-23,35.7,Extension,5.2,14.7,6.7,9.1
2025-12-22,47.4,Melt-Up,4.1,23.7,0.8,18.8
2025-12-19,16.1,Extension,0.6,14.6,-0.8,1.7
2025-12-18,-23.4,Collapse Bias,-2.9,-12.2,-8.3,0.0
2025-12-17,-32.1,Collapse Bias,-7.6,-15.3,-9.2,0.0
2025-12-16,-13.7,Collapse Bias,-2.9,-3.3,-7.5,0.0
2025-12-15,-0.2,Knife Edge,-1.7,0.7,0.8,0.0
2025-12-12,13.3,Extension,-1.7,12.5,2.5,0.0
2025-12-11,50.0,Melt-Up,14.5,12.5,5.8,17.2
2025-12-10,52.7,Melt-Up,13.4,12.0,7.5,19.8
2025-12-09,49.8,Melt-Up,13.4,2.2,9.2,25.0
