date,infra_5d,enterprise_5d,macro_5d,financial_5d,productivity_5d,demand_5d,avg_5d_pct
2026-01-21,0.027,-0.0566,0.0565,-0.0338,-0.0653,-0.0756,-2.463333333333333
2026-01-20,0.0074,-0.0795,0.0007,-0.0315,-0.0419,-0.0732,-3.633333333333333
2026-01-16,0.0324,-0.0468,-0.019,0.0341,-0.0155,-0.0288,-0.7266666666666667
2026-01-15,0.0657,-0.0502,-0.0209,0.0416,-0.0166,-0.0303,-0.1783333333333334
2026-01-14,0.0146,-0.0656,-0.0361,-0.0013,-0.0412,-0.0183,-2.4650000000000003
2026-01-13,0.0125,-0.0271,-0.0467,-0.0198,0.0095,0.0086,-1.05
2026-01-12,0.0131,0.0035,0.0123,-0.0224,-0.0041,0.0186,0.35000000000000003
2026-01-09,0.021,0.0088,0.0648,-0.0242,0.0109,0.0361,1.9566666666666663
2026-01-08,0.0326,-0.012,0.0779,0.0223,-0.0103,0.0287,2.32
2026-01-07,0.0463,0.0076,0.0766,0.018,0.0202,-0.0021,2.7766666666666664
2026-01-06,0.0566,-0.0122,0.0913,0.0411,-0.0274,-0.0013,2.4683333333333333
2026-01-05,0.0471,-0.0282,0.0243,0.0243,-0.0301,-0.0286,0.14666666666666672
2026-01-02,0.0405,-0.0412,0.0084,0.0098,-0.0413,-0.0505,-1.2383333333333335
2025-12-31,0.0042,-0.0095,-0.0382,-0.0283,-0.0215,-0.0378,-2.1849999999999996
2025-12-30,0.0168,-0.0102,-0.0385,-0.0357,-0.0121,-0.0238,-1.7249999999999999
2025-12-29,0.0227,-0.0022,-0.0267,-0.0007,0.0047,-0.0093,-0.19166666666666665
2025-12-26,0.0528,0.0194,0.024,0.035,0.0207,0.0104,2.705
2025-12-24,0.0781,0.0358,0.0222,0.04,0.0314,0.0375,4.083333333333334
2025-12-23,0.0205,0.0155,-0.005,0.021,0.0037,0.0099,1.0933333333333335
2025-12-22,0.0424,0.0216,0.0053,0.0444,0.0066,0.0141,2.2399999999999998
2025-12-19,,,,,,,
2025-12-18,,,,,,,
2025-12-17,,,,,,,
2025-12-16,,,,,,,
2025-12-15,,,,,,,
2025-12-12,,,,,,,
2025-12-11,0.0467,0.0004,0.0224,0.048,0.0274,-0.0212,2.061666666666667
2025-12-10,0.0568,0.0035,-0.0038,0.0422,0.049,-0.0054,2.3716666666666666
2025-12-09,0.0225,0.0134,0.0398,0.0621,0.0546,0.0245,3.615
2025-12-08,0.0221,0.0373,0.0913,0.0549,0.0641,0.0525,5.37
