date,vix,ma_20,trend_20d,combined_regime
2026-01-20,20.09,15.3295,5.18,Fragile
2026-01-19,18.84,15.0705,1.9699999999999989,Fragile
2026-01-16,15.86,14.972,-1.7600000000000016,Healthy
2026-01-15,15.84,15.06,-0.6400000000000006,Healthy
2026-01-14,16.75,15.092,0.25,Healthy
2026-01-13,15.98,15.0795,0.2400000000000002,Healthy
2026-01-12,15.12,15.0675,0.2699999999999996,Healthy
2026-01-09,14.49,15.054,-1.2799999999999994,Healthy
2026-01-08,15.45,15.118,-1.4800000000000004,Healthy
2026-01-07,15.38,15.192,-1.2799999999999994,Healthy
2026-01-06,14.75,15.256,-0.6600000000000001,Healthy
2026-01-05,14.9,15.289,-0.879999999999999,Healthy
2026-01-02,14.51,15.333,-1.5699999999999985,Healthy
2025-12-31,14.95,15.4115,-1.6400000000000006,Healthy
2025-12-30,14.33,15.4935,-2.9099999999999984,Healthy
2025-12-29,14.2,15.639,-2.150000000000002,Healthy
2025-12-26,13.6,15.7465,-3.610000000000001,Healthy
2025-12-24,13.47,15.927,-3.7200000000000006,Pre-Shock
2025-12-23,14.0,16.113,-4.559999999999999,Pre-Shock
2025-12-22,14.08,16.341,-6.4399999999999995,Pre-Shock
2025-12-19,14.91,16.663,-8.52,Healthy
2025-12-18,16.87,17.089,-9.55,Healthy
2025-12-17,17.62,17.5665,-6.039999999999999,Healthy
2025-12-16,16.48,17.8685,-8.21,Healthy
2025-12-15,16.5,18.279,-5.879999999999999,Healthy
2025-12-12,15.74,18.573,-4.089999999999998,Healthy
2025-12-11,14.85,18.7775,-5.15,Healthy
2025-12-10,15.77,19.035,-1.740000000000002,Healthy
2025-12-09,16.93,19.122,-0.3500000000000014,Healthy
2025-12-08,16.66,19.1395,-0.9400000000000013,Healthy
